OTU ID	ex_blank1_S40_L001	ex_blank2_S112_L001	ex_blank3_S7_L001	ex_blank4_S122_L001	ex_blank5_S104_L001	ex_blank6_S100_L001	pH20_BR_post_S108_L001	pH20_BR_pre_S53_L001	pH20_CB_A1_S54_L001	pH20_CB_A2_S9_L001	pH20_CB_A3_S5_L001	pH20_CB_A4_S89_L001	pH20_CB_I_S32_L001	pH20_CB_N1_S24_L001	pH20_CB_N2_S101_L001	pH20_CB_N3_S67_L001	pH20_CB_N4_S59_L001	pH20_CN_A1_S93_L001	pH20_CN_A2_S77_L001	pH20_CN_A3_S33_L001	pH20_CN_A4_S45_L001	pH20_CN_N1_S43_L001	pH20_CN_N2_S14_L001	pH20_CN_N3_S103_L001	pH20_CN_N4_S94_L001	pH20_HB_post_S36_L001	pH20_HB_pre_S115_L001	pH20_MI_A1_S76_L001	pH20_MI_A2_S60_L001	pH20_MI_A3_S25_L001	pH20_MI_A4_S19_L001	pH20_MI_I_S106_L001	pH20_MI_N1_S86_L001	pH20_MI_N2_S120_L001	pH20_MI_N3_S129_L001	pH20_MI_N4_S65_L001	pH20_NG_A1_S63_L001	pH20_NG_A2_S26_L001	pH20_NG_A3_S3_L001	pH20_NG_A4_S74_L001	pH20_NG_I_S69_L001	pH20_NG_N1_S57_L001	pH20_NG_N2_S37_L001	pH20_NG_N3_S41_L001	pH20_NG_N4_S79_L001	pH20_PR_A1_S13_L001	pH20_PR_A2_S16_L001	pH20_PR_A3_S83_L001	pH20_PR_A4_S128_L001	pH20_PR_I_S102_L001	pH20_PR_N1_S27_L001	pH20_PR_N2_S1_L001	pH20_PR_N3_S107_L001	pH20_PR_N4_S71_L001	pH20_RP_A1_S10_L001	pH20_RP_A2_S135_L001	pH20_RP_A3_S80_L001	pH20_RP_A4_S84_L001	pH20_RP_I_S51_L001	pH20_RP_N1_S105_L001	pH20_RP_N2_S72_L001	pH20_RP_N3_S118_L001	pH20_RP_N4_S97_L001	pH20_TF_A1_S134_L001	pH20_TF_A2_S58_L001	pH20_TF_A3_S90_L001	pH20_TF_A4_S98_L001	pH20_TF_I_S78_L001	pH20_TF_N1_S23_L001	pH20_TF_N2_S126_L001	pH20_TF_N3_S119_L001	pH20_TF_N4_S99_L001	pH20_WA_A1_S18_L001	pH20_WA_A2_S15_L001	pH20_WA_A3_S4_L001	pH20_WA_A4_S48_L001	pH20_WA_I_S121_L001	pH20_WA_N1_S28_L001	pH20_WA_N2_S44_L001	pH20_WA_N3_S70_L001	pH20_WA_N4_S17_L001
Zotu1421	0	0	0	0	0	0	0	0	8	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	82	33	131	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu10284	0	0	0	0	0	0	0	0	1	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Zotu8281	0	0	0	0	0	0	0	0	1	1	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	4	0	0	0	0	0	4	0	0	0	0	0	0	0	0	1	0	4	1	0	0	0	0	0
Zotu7166	0	0	0	0	0	0	0	0	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	3	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	6	5	5	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	1	0	8	0	0	0	0	0
Zotu3880	0	0	0	0	0	0	0	0	2	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	11	16	8	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu11226	0	0	0	0	0	0	0	0	2	3	0	1	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu6810	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	3	0	0	0	0	0	18	3	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0
Zotu917	0	0	0	0	0	0	0	0	9	0	6	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	10	7	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	1	56	19	10	0	0	0	0	0	108	0	46	5	0	0	0	0	2	33	24	18	46	0	0	0	0	0
Zotu7125	0	0	0	0	0	0	0	0	2	3	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	4	10	2	9	0	0	0	0	2	0	0	0	0	0	0	0	8	0	0	0	0	1	0	0	0	0	1	0	0	5	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
Zotu8592	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	1	0	0	1	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu11589	0	0	0	0	0	0	0	0	1	0	2	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	1	0	2	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu8649	0	0	0	0	0	0	0	0	5	0	1	2	3	6	5	1	3	0	0	0	0	0	0	0	0	0	0	0	0	4	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Zotu12893	0	0	0	0	0	0	0	0	2	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	4	2	0	0	0	0	0	0	0	0	3	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu6083	0	0	0	0	0	0	0	0	2	1	0	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	1	1	1	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	7	0	0	0	0	1	0	2	2	1	3	1	0	2	0	0	0	0	1	0	0	1	0
Zotu7545	0	0	0	0	0	0	0	0	4	3	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu4471	0	0	0	0	0	0	0	0	3	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	12	11	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	1	3	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	5	9	25	0	0	0	0	0
Zotu10121	0	0	0	0	0	0	0	0	6	2	0	1	6	0	0	0	0	0	0	0	0	0	0	0	0	0	7	2	0	0	0	0	0	0	0	0	0	0	3	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0
Zotu4585	0	0	0	0	0	0	0	0	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	4	11	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu2478	0	0	0	0	0	0	0	0	4	1	1	5	33	0	0	0	0	1	0	0	0	0	0	0	0	0	17	2	0	3	2	24	0	0	0	0	0	0	1	0	47	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu2975	0	0	0	0	0	0	0	0	2	1	0	2	2	3	1	1	0	1	0	0	0	0	0	0	0	0	23	3	0	0	0	17	0	0	0	0	1	0	2	1	57	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu3090	0	0	0	0	0	0	0	0	2	0	0	4	1	0	0	0	1	0	0	0	0	0	0	0	0	0	5	2	3	5	1	1	0	0	1	0	18	7	0	10	2	11	14	0	7	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0
Zotu10680	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	4	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	1	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Zotu1290	0	0	0	0	0	0	0	0	5	2	0	3	213	0	0	0	0	0	0	0	0	0	0	0	0	0	80	0	0	1	0	1	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu9568	0	0	0	0	0	0	0	0	1	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	8	3	0	0	2	0	0	0	1	0	0	0	0	0	0	0	1	3	1	2	2	0	0	0	0
Zotu6034	0	0	0	0	0	0	0	0	1	2	0	2	7	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	1	3	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Zotu8904	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	18	0
Zotu8673	0	0	0	0	0	0	0	0	3	0	0	0	12	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu4402	0	0	0	0	0	0	0	0	2	0	0	2	3	0	0	0	0	6	0	0	0	0	0	2	2	0	3	1	2	2	1	4	1	2	0	2	4	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	1	5	10	1	0	0	1	2	0	0	2	0	0	0	0	0	0	0	4	0	0	0	2	1	0
Zotu1502	0	0	0	0	0	0	0	0	1	4	0	0	3	0	0	1	1	0	0	0	0	0	0	0	0	0	0	13	10	21	18	2	2	1	0	0	3	0	0	0	0	0	0	0	0	52	0	25	3	0	0	0	0	2	25	33	26	32	0	0	2	1	0	0	0	1	0	0	1	0	0	1	0	8	0	0	3	0	0	1	1
Zotu4728	0	0	0	0	0	0	0	0	4	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	8	15	2	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	8	12	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu8148	0	0	0	0	0	0	0	0	1	1	2	6	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1505	0	0	0	0	0	0	0	0	4	4	5	8	0	12	5	1	3	1	0	0	0	0	0	0	0	0	0	13	5	7	2	0	11	2	6	0	2	1	4	0	0	0	0	0	0	16	1	1	1	0	4	0	1	0	24	8	17	15	1	9	0	3	6	10	6	5	4	0	7	5	1	1	5	7	12	12	0	5	7	5	13
Zotu5272	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	5	0	1	3	0	0	2	8	1	0	6	2	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	3	0	0	0	3	0	0	0	0	0	4	0	1	0	0	0	0	0	0	2	0	4	0
Zotu5844	0	0	0	0	0	0	0	0	4	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	4	5	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	8	3	1	4	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	11	2	0
Zotu4490	0	0	0	0	0	0	0	0	3	0	5	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	10	2	1	12	4	11	0	2	0	3	0	1	3	1	1	3	0	0	0	0	0	0	0	0	0	0	0	0	9	2	4	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	0	0	0	0
Zotu13277	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu9841	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	9	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu2179	0	0	0	0	0	0	0	0	2	1	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	3	0	0	0	3	0	0	1	2	1	0	0	0	0	0	0	55	10	25	41	0	0	0	0	0	9	0	0	0	0	0	0	0	0
